id,is_pass
1626_45,0.17943925907960884
11020_130,0.49115113265621946
12652_146,0.2655872640579968
7038_72,0.02587852589178629
888_71,0.19421228005842578
18922_62,0.34875746207834035
5499_29,0.48583957626149016
10150_125,0.4311487264633816
10158_95,0.4530257551760577
6215_17,0.46250843767697936
6719_121,0.4911647085752507
14498_175,0.4486146496302531
15169_153,0.48378148925113507
11094_23,0.1835129037680352
17853_11,0.4392415567895636
15437_157,0.442858505066545
7156_53,0.3604296881512815
1406_69,0.36330551518610177
6127_32,0.3308117403173194
19983_89,0.4618306082203501
14606_87,0.4274598587978398
15316_112,0.4320408276958301
2729_157,0.4194209206971509
15099_94,0.1940832412010679
1226_135,0.36650768216185386
5097_64,0.1571561336689323
7456_19,0.4716598042682362
5846_70,0.38969789820809064
12159_44,0.3399988844468894
17292_94,0.26045649838251383
7038_74,0.2635390951767546
10956_131,0.48815920955952213
8828_136,0.4298418108900421
10477_27,0.47885152139357484
18548_82,0.4807723333678159
4093_82,0.21244708264779957
299_160,0.44615797503021964
6165_117,0.4752300815396729
1139_80,0.19540130366433162
6498_93,0.25475518013756737
18332_127,0.4062150583182497
4167_88,0.4912369071069748
5207_80,0.315200162993008
9653_39,0.47661955288026386
9730_31,0.46964280539860104
14676_158,0.37522418956691206
13104_57,0.3786091241507861
4695_32,0.21910941603515255
8544_81,0.48391542811065846
3175_103,0.45974497100119693
5294_167,0.39643922009656385
16934_97,0.14547077835248723
16711_154,0.4663732632000147
11574_83,0.08789856277876607
8183_84,0.21486608037210778
1986_164,0.4775940603477912
10067_21,0.4232868502941476
3588_154,0.48882640186892334
10785_65,0.24012895278682583
1858_144,0.3863336503066124
10801_174,0.41813649546809895
1645_149,0.43496700006281547
8584_128,0.43217469982349277
16381_47,0.3891372133541149
10042_28,0.4870022145090593
9725_125,0.3516060170747284
3906_95,0.286515869806553
13921_40,0.3032645016986565
20096_103,0.18320380807775366
10021_101,0.22515022378853924
1035_19,0.3491852805912582
105_128,0.4329765880961029
7720_87,0.2101509718196597
12174_50,0.20906369175517775
12560_89,0.26929495619933896
11847_86,0.34164682061965035
10240_22,0.40533259507675384
7852_82,0.20864590359329308
3462_104,0.33985708621662547
3592_103,0.43686019987565644
18365_120,0.4742496596611492
10326_23,0.18874103292570613
10334_135,0.43050624358120543
2893_118,0.4955993635715111
20072_67,0.14730651231807257
3308_9,0.17428008464443612
14550_170,0.3855528292465793
1926_132,0.3743733720247513
6580_14,0.12413421458357454
2504_126,0.15423792081710413
16734_43,0.3599891225090499
5279_121,0.3455773433661743
11361_180,0.12301672231100896
9156_143,0.45477199157433973
8157_135,0.39330928427908063
4985_159,0.36466848007504216
7191_79,0.4501650121767675
13297_140,0.15990707488581046
10763_94,0.4168959020464074
15041_44,0.343499638338124
12038_82,0.4802770661500443
8503_133,0.4292477403779252
18334_11,0.20979686352271099
7731_77,0.10202231404369773
8658_141,0.4417293615371509
7531_73,0.17103777091512312
412_143,0.48691235536913763
15721_109,0.3215514709260132
10921_25,0.4062504275617985
3366_73,0.17029054182443965
13524_88,0.34873999896953267
19818_73,0.07075796088955888
1800_90,0.3508681368415991
15120_182,0.46553564066587594
14355_94,0.4461934967346581
19593_83,0.46198359474345485
6051_74,0.2668283818874414
1300_44,0.2266587420820522
7326_79,0.26166601798156364
18295_152,0.4564054178276039
1322_73,0.13295218938397027
15009_159,0.2427642521837991
19400_114,0.3841606190945478
10190_141,0.18127396819105127
9530_166,0.44025707037353456
9155_136,0.44400898814008594
3281_114,0.2897631212347266
6962_16,0.4852207695156877
14439_88,0.3717378976718501
11766_36,0.3190027784706704
2567_14,0.4394045337149738
13337_51,0.4125609531154136
3155_14,0.3309983796565767
8431_43,0.24942087302512403
16864_100,0.23868013665013982
15816_95,0.44657937041977697
7850_49,0.20985034306323488
9331_132,0.4044719619852696
18321_69,0.22021925727564454
